item_id,min_price,median,quantity
76647,2182,2182,219
77545,2596,2598,84
77541,2397,2397,60
197741,5,7,1608283
173032,7,7,42703
76674,1295,22295,41
52225,10099,10099,77
187702,25,17000,25942
31867,1500,1500,15
76645,1000,1285,15
32836,38181,38182,7
52248,7499,7500,15
201402,226,228,1982
40037,2994,2994,40
31866,5901,5901,28
41492,1924,1924,78
201219,23000,23000,1
76537,826,826,14
39978,470,470,11
103797,67,70,1051
24060,840,840,16
178537,9999,4999999,3
31869,237500,237500,11
109585,481,60028,2908
199943,520,520,157
116979,3,3,1183
52117,135,11000,7
76567,287,289,47
52160,1654,1654,5
28595,100,100,10
115804,188,188,16
24048,11489,11489,26
56850,1200,9900,15528
39947,155,155,10
23115,198,198,6
52097,2587,2587,22
169220,4847,4847,705
115807,600,600,64
52090,5096,5096,13
52169,127490,127490,2
116810,300,300,213
39950,1000,3773,209
39956,200,200,19
38930,92,93,56
115526,140,449,551
52103,3330,3592,35
23440,387,388,19
23438,320,320,79
23104,100,100,7
191384,25,480000,12523
41440,150,150,8
76519,520,520,15
76700,174,174,55
200615,3500,3500,90
41498,206,206,3
39907,300,313,5
52235,5000,294800,19
24039,1095,1095,11
24067,986,995,39
76644,2142,2147,29
39919,199,199,44
130177,154,154,642
39967,199,199,6
39965,399,399,10
39951,196,196,4
33447,99,1000000,1250
40059,5703,5707,17
76530,249,249,22
41464,8000,8000,80
39910,374,374,44
24059,312,315,33
151580,2179,2179,63
76566,422,422,17
40039,700,700,44
39957,237,237,12
192843,100,149,1441
76547,821,821,26
39968,113,113,18
173171,737,737,1682
40003,935,935,31
41483,200,200,8
130173,398,399,640
151585,4347,4575,21
179310,87,87,13
173035,7,7,21682
41461,200,200,13
41460,1021,1021,2
39934,362,362,22
39976,562,562,20
115803,145,145,239
89675,411,411,12
158927,27499,27499,24
168639,800,800,104
133680,197,6999,3060
133589,84,100,886
199972,14500,15000,152
114931,410,420,107458
200014,7786,7877,176
199978,785,985,10
159,1,99,8958
192840,188,221,895
39354,1,1,789013
199968,33194,33395,253
72238,550,600,46536
118902,70,70,10
180088,26675,39900,12
199977,525,525,152
192849,339,863,5873
191378,64,154,11051
199947,508,508,153
103786,231,243,1070
199949,500,525,101
103789,75,91,510
199945,520,540,84
120293,1399,1499,67
39513,25,25,24
52158,2000,2000,4
39512,8,4800010,335
85559,38,38,98
192622,65,65,209
192861,300,320,26465
199936,504,509,115
199948,500,509,133
193924,139,150,734156
199975,4825,7700,247
151394,26999,26999,15
198195,19394,19395,105
199954,500,500,133
153710,251,375,299
6457,2550,2550,6
199953,500,500,224
130182,1399,1399,603
192605,166,166,38
140189,19,9019,62
153704,283,283,438
191340,1800,6040,1781
33547,660,695,20
153701,273,299,527
40411,500000,2750000,2
107528,98,480068,965
172055,7,100,3765
158751,38,38,387
124442,1998,6300,5728
19304,1,350000,918
19221,9,9,152
160298,8,8,28614
190329,3132,3900,303419
44941,5,5,485
19300,2,2,210
152877,3495,4100,4781
194801,75000,78239,160
28284,985,985,12
87234,50,4544,233
33546,27,27,28
169135,41,41,31
19299,1,2,124
87242,15,7743,371
187634,2500,5179,132
87246,17,18,424
22528,81,120099,1042
19223,485,500,66
87230,50,95,435
87226,20,40,98
187633,1499,2055,421
190530,4900,5086,1619
112449,1,1,452
9358,7500,7500,3
130179,1150,1150,156
107469,83,84,16
52188,114,17200,549
18286,200,200,3
19705,5600,15000,2086
19700,2400,2500,1254
192910,200,400,67
19701,600,749,130
180168,62415,72750,41
36928,443,9946,1047
174348,922,923,208
40536,10,10,516
44739,350,350,115
18662,257,375,1273
191469,150,199,425592
37156,375,400,54
36810,399,399,39
37147,200,200,36
190324,9416,11000,66053
30813,2543,2543,10
37159,150,150,21
154168,2200,4500,160
109138,21,17200,809
153437,92,93,149
106868,162,162,8
74647,1200,1200,91
74646,195,897,750
35557,7070,7777,171
74655,3600,3600,121
74649,400,900,162
74643,349,394,159
74644,950,971,83
74864,290,290,2014
153430,767,767,50
111441,97,829,328
17202,8,10,715611
74865,685,16525,1023
34766,225,250,157
27659,700,744,291
107461,58,96,37
74859,294,315,972
34767,300,16525,23
34762,274,3000,148
74641,784,784,110
62669,799,799,114
34754,599,32525,63
5133,2519,2544,13
108978,3256,3450000,16
107517,35,35,168
194541,64000,81200,112
22576,774,800,10215
107472,118,118,5
191318,359,3265,1239
4587,199,199,22
192838,70,103,5107
171436,15,445200,155
191397,100,199,4048
173110,425,600,1433
173039,3,445200,143
171350,220,445200,285
192932,15654,15980,1887
210673,110000,119800,298
192855,270,320,20407
168828,13000,39900,34516
76652,2630,2630,14
52127,5070,5070,34
23095,80,80,115
72988,23,515,21739
151609,13124,13124,187
173033,14,48,11041
173036,370,9998,8344
193222,2580,3124,971
132192,4599,4599,60
192723,5000,7190,9
173034,15,36,4944
