timestamp,min_price,median,quantity
22120411,100,444,1447
22120412,100,444,1443
22120413,100,444,1430
22120414,50,122,1199
22120415,50,122,1250
22120416,50,122,1292
22120417,50,122,1160
22120418,50,122,1172
22120419,50,122,1181
22120420,49,122,1199
22120421,49,122,1209
22120422,50,122,1167
22120423,50,122,1186
22120500,50,122,1159
22120501,50,122,1148
22120502,50,122,1152
22120503,50,122,1000
22120504,50,122,1000
22120505,50,122,1000
22120506,50,122,936
22120507,50,122,944
22120508,50,122,961
22120509,50,122,946
22120510,50,122,838
22120511,50,122,838
22120512,50,122,825
22120513,50,122,841
22120514,50,122,764
22120515,50,122,748
22120516,50,122,752
22120517,49,122,764
22120518,49,122,776
22120519,49,122,938
22120520,49,112,568
22120522,49,100,705
22120523,49,100,724
22120600,49,100,773
22120601,49,100,819
22120602,49,100,813
22120603,49,100,810
22120604,49,100,811
22120605,49,50,821
22120606,49,50,821
22120607,49,50,844
22120608,49,50,845
22120609,49,50,845
22120610,49,50,845
22120611,49,49,857
22120612,49,49,795
22120613,49,49,847
22120614,49,49,843
22120615,49,49,860
22120616,49,49,865
22120617,48,49,857
22120618,48,49,856
22120619,48,49,870
22120620,49,49,864
22120621,49,49,869
22120622,49,49,799
22120623,49,49,869
22120700,49,49,866
22120701,49,49,818
22120702,49,49,816
22120703,49,49,816
22120704,49,49,816
22120705,39,49,825
22120706,39,49,826
22120707,39,49,815
22120708,39,49,823
22120709,39,49,840
22120710,26,49,858
22120711,26,49,858
22120712,26,49,850
22120713,26,49,808
22120714,20,49,810
22120715,20,49,815
22120716,5,49,816
22120717,39,49,740
22120718,39,49,747
22120719,39,49,584
22120720,39,49,628
22120721,39,49,633
22120722,49,49,414
22120723,49,49,418
22120800,49,49,365
22120801,49,49,292
22120802,4,49,294
22120803,44,49,292
22120804,49,2563,285
22120805,49,2563,288
22120806,49,2563,318
22120807,2063,2563,318
22120808,2063,2563,366
22120809,2000,2563,375
22120810,2000,2563,392
22120811,1991,2563,419
22120812,1991,2563,432
22120813,1991,2563,446
22120814,1991,2563,467
22120815,509,2563,538
22120816,509,2063,579
22120817,509,2063,607
22120818,201,2063,596
22120819,201,2063,617
22120820,505,2063,628
22120821,505,2063,642
22120822,499,2063,668
22120823,499,2063,675
22120900,385,2063,681
22120901,385,2063,673
22120902,300,2000,748
22120903,300,2000,750
22120904,300,2000,754
22120905,300,2000,754
22120906,300,2000,728
22120907,300,2000,672
22120908,300,2000,644
22120909,300,2000,645
22120910,297,1991,683
22120911,297,1991,680
22120912,297,1991,684
22120913,297,1792,700
22120914,156,509,734
22120915,156,509,739
22120916,156,505,747
