timestamp,min_price,median,quantity
22120411,33299,50001,41
22120412,33299,50001,40
22120413,33299,50001,40
22120414,33299,50001,41
22120415,33298,50001,40
22120416,33298,50001,40
22120417,33298,50001,40
22120418,33297,50001,39
22120419,33297,50001,40
22120420,25000,50001,41
22120421,25000,50000,42
22120422,25000,44999,47
22120423,24900,44999,48
22120500,33297,50001,36
22120501,33297,33297,18
22120502,33250,33297,19
22120503,33250,33297,19
22120504,33250,33297,18
22120505,33250,33297,18
22120506,33250,33297,19
22120507,33250,33297,19
22120508,33250,33297,18
22120509,33250,33297,17
22120510,33250,33297,17
22120511,33250,50000,38
22120512,33250,50000,37
22120513,33250,50000,37
22120514,33250,50000,37
22120515,33250,50000,37
22120516,33050,50000,38
22120517,33050,50000,38
22120518,33050,50000,32
22120519,33049,47499,40
22120520,33049,47499,40
22120522,33048,50000,39
22120523,33048,50000,39
22120600,33048,50000,39
22120601,33048,50000,39
22120602,33048,50000,37
22120603,33048,50000,37
22120604,33048,50000,34
22120605,33048,50000,33
22120606,33048,50000,33
22120607,33048,50000,33
22120608,33048,50000,33
22120609,33048,50000,33
22120610,33048,50000,33
22120611,33048,50000,32
22120612,33048,50000,32
22120613,33048,50000,32
22120614,33048,50000,31
22120615,33048,50000,31
22120616,33048,50000,31
22120617,32548,50000,33
22120618,32548,50000,32
22120619,32547,50000,31
22120620,32547,50000,31
22120621,32547,50000,31
22120622,32547,50000,31
22120623,32547,50000,31
22120700,32500,50000,33
22120701,32500,50000,32
22120702,32500,50000,33
22120703,32500,50000,33
22120704,32500,50000,33
22120705,32500,50000,32
22120706,30000,50000,34
22120707,30000,50000,34
22120708,30000,50000,35
22120709,30000,50000,35
22120710,30000,50000,35
22120711,30000,32547,14
22120712,30000,32547,14
22120713,30000,32547,14
22120714,30000,32547,14
22120715,30000,32547,14
22120716,30000,32523,16
22120717,30000,50000,35
22120718,29999,50000,32
22120719,29999,50000,32
22120720,29999,50000,34
22120721,29999,50000,34
22120722,29999,50000,34
22120723,29999,50000,34
22120800,29999,50000,32
22120801,29999,50000,32
22120802,29999,50000,32
22120803,29999,50000,32
22120804,29999,50000,32
22120805,29999,50000,32
22120806,29999,50000,32
22120807,29999,50000,32
22120808,29999,50000,30
22120809,29999,50000,30
22120810,29999,50000,30
22120811,29999,50000,30
22120812,29999,50000,31
22120813,29999,50000,31
22120814,29999,50000,31
22120815,29999,50000,32
22120816,29998,50000,33
22120817,29998,50000,34
22120818,29998,50000,36
22120819,29998,50000,36
22120820,29998,50000,35
22120821,29998,50000,36
22120822,29998,50000,37
22120823,29998,50000,37
22120900,29998,50000,35
22120901,29998,50000,35
22120902,29998,50000,35
22120903,29998,50000,34
22120904,29998,50000,34
22120905,29998,50000,33
22120906,29998,50000,30
22120907,29998,50000,31
22120908,29998,50000,31
22120909,29998,50000,30
22120910,29998,50000,30
22120911,29998,50000,30
22120912,29998,50000,31
22120913,29998,50000,31
22120914,29998,50000,31
22120915,29998,50000,31
22120917,4999901,4999901,1
22120918,167745,167745,3
22120919,167745,167745,3
22120920,167745,167745,3
22120921,167745,167745,3
22120922,167745,167745,3
22120923,99945,99945,24
22121000,50000,99945,25
22121001,50000,99945,26
22121002,50000,99945,26
22121003,50000,99945,26
22121004,50000,99945,26
22121005,50000,99945,25
22121006,50000,99945,25
22121007,50000,99945,25
22121008,50000,99945,25
22121009,49999,99945,26
22121010,49999,99945,27
22121011,49999,50000,8
22121012,49999,49999,28
22121013,49999,49999,28
22121014,49999,49999,29
22121015,49999,49999,30
22121016,49999,49999,31
22121017,49791,49999,34
22121018,49091,49999,33
22121019,49091,49999,33
22121020,49091,49999,33
22121021,49091,49999,33
22121022,34591,49999,35
22121023,34591,49999,36
22121100,34591,49999,36
22121101,34591,49999,36
22121102,34591,49999,36
22121103,34591,49999,36
22121104,34591,49999,35
22121105,34591,49999,35
22121106,34591,49999,34
22121107,34591,49999,34
22121108,34591,49999,34
22121109,34591,49999,34
22121110,34591,49999,34
22121111,34591,49999,33
22121112,34591,49999,33
22121113,34591,49999,33
22121114,34091,49999,35
22121115,29091,49999,35
22121116,29091,49999,37
22121117,29091,49999,38
22121118,29091,49999,38
22121119,29091,49999,38
22121120,29091,49999,39
22121121,29091,49999,39
22121122,29091,49999,40
22121123,29091,49999,40
22121200,29091,49999,39
22121201,29091,49999,38
22121202,29091,49999,38
22121203,29091,49999,37
22121204,29091,49999,37
22121205,29091,49999,36
22121206,29091,49999,36
22121207,29091,49999,36
22121208,29091,49999,37
22121209,29091,49999,37
22121210,29091,49999,36
22121211,29091,49999,36
22121212,29091,49999,36
22121213,29091,49991,36
22121214,29091,49991,35
22121215,29091,49991,35
22121216,29091,49991,34
22121217,29091,49991,31
22121218,29091,49991,32
22121219,29091,49991,33
22121220,29000,49991,32
22121221,29000,49991,32
22121222,29000,49991,32
22121223,29000,49991,32
22121300,29000,49991,29
22121301,29000,49991,29
22121302,29000,49991,30
22121303,29000,49991,31
22121304,29000,49991,32
22121305,29000,49991,35
22121306,29000,49991,35
22121307,29000,49991,36
22121308,29000,49991,36
22121309,29000,49991,36
22121310,29000,49991,36
22121311,29000,49991,33
22121312,29000,49991,33
22121313,29000,49991,33
22121314,29000,49991,33
22121315,29000,49991,33
22121316,29000,49991,33
22121317,29000,49991,32
22121318,29000,49991,32
22121319,29000,49991,32
22121320,29000,49991,32
22121321,25000,49991,33
22121322,25000,49991,33
22121323,25000,49991,34
22121400,25000,49991,34
22121401,25000,49991,34
22121402,24000,49991,36
22121403,24000,49991,35
22121404,24000,49991,34
22121405,24000,49991,31
22121406,24000,49991,31
22121407,24000,49991,29
22121408,24000,49991,29
22121409,24000,49991,29
22121410,24000,49991,29
22121411,24000,49991,30
22121412,24000,49991,30
22121413,24000,49991,30
22121414,24000,25000,9
22121415,24000,25000,9
22121416,24000,25000,9
22121417,24000,24000,20
22121418,24000,24000,20
22121419,24000,24000,21
22121420,24000,24000,20
22121421,24000,24000,20
22121422,24000,24000,20
22121423,24000,24000,21
22121500,24000,24000,21
22121501,24000,24000,21
22121502,24000,24000,21
22121503,24000,24000,21
22121504,24000,24000,20
22121505,24000,24000,20
22121506,24000,24000,19
22121507,24000,24000,19
22121508,24000,24000,22
22121509,24000,24000,22
22121510,24000,24000,21
22121511,24000,24000,21
22121512,24000,24000,21
22121513,24000,24000,22
22121514,99901,99901,22
22121515,99701,99901,25
22121516,99701,99901,26
22121517,99701,99901,26
22121518,95001,99901,27
22121519,95001,99901,27
22121520,95001,99901,27
22121521,95001,99901,27
22121522,94901,99901,28
22121523,94901,99901,28
22121600,94901,99901,28
22121601,94901,99901,28
22121602,94901,99901,29
22121603,94901,99901,28
22121604,94901,99901,28
22121605,94901,99901,28
22121606,94901,99901,27
22121607,94901,99901,27
22121608,94901,99901,27
22121609,94901,99901,27
22121610,94901,99901,27
22121611,94901,99901,29
22121612,94901,99901,29
22121613,94901,99901,29
22121614,94901,99901,29
22121615,94901,99901,29
22121616,94701,99901,29
22121617,94701,99901,28
22121618,94701,99901,28
22121619,94701,99901,28
22121620,94701,99901,30
22121621,90000,99901,32
22121622,90000,99901,31
22121623,90000,99901,32
22121700,90000,99901,33
22121701,90000,99901,34
22121702,90000,99901,34
22121703,90000,99901,35
22121704,90000,99901,36
22121705,90000,99901,36
22121706,90000,99901,37
22121707,90000,99901,37
22121708,90000,99901,35
22121709,90000,99901,35
22121710,90000,99901,35
22121711,90000,99901,35
22121712,90000,99901,35
22121713,90000,99901,35
22121714,90000,90000,14
22121715,90000,90000,13
22121716,90000,90000,12
22121717,90000,90000,12
22121718,90000,90000,14
22121719,89800,90000,15
22121720,89800,90000,15
22121721,89800,90000,15
22121722,89800,90000,14
22121723,49900,49900,34
22121800,49899,49900,34
22121801,49899,49900,34
22121802,49899,49900,38
22121803,49899,49900,37
22121804,49899,49900,37
22121805,49899,49900,37
22121806,49899,49900,38
22121807,49899,49900,38
22121808,49899,49900,38
22121809,49899,49900,37
22121810,49899,49900,38
22121811,49899,69849,18
22121812,49500,49899,20
22121813,45000,60000,41
22121814,45000,60000,43
22121815,45000,60000,42
22121816,45000,60000,42
22121817,45000,60000,42
22121818,45000,60000,41
22121819,45000,60000,40
22121820,45000,60000,40
22121821,45000,60000,38
22121822,45000,60000,38
22121823,40050,60000,40
22121900,40050,60000,39
22121901,40050,60000,38
22121902,40050,60000,37
22121903,40050,60000,37
22121904,40050,60000,36
22121905,40050,60000,36
22121906,40050,60000,35
22121907,40050,60000,35
22121908,40050,60000,35
22121909,40050,60000,35
22121910,40000,60000,38
22121911,40000,60000,39
22121912,40000,60000,38
22121913,40000,60000,38
22121914,40000,60000,38
22121915,40000,60000,39
22121916,40000,60000,39
22121917,40000,60000,39
22121918,38500,54949,40
22121919,38500,54949,40
22121920,38500,49899,42
22121921,38499,49699,56
22121922,38499,49699,56
22121923,38499,49899,55
22122000,38499,49899,55
22122001,38099,49699,56
22122002,38099,45000,51
22122003,38099,45000,52
22122004,38099,45000,53
22122005,38099,45000,53
22122006,38099,42525,52
22122007,38099,42525,52
22122008,38099,42525,52
22122009,38099,40050,53
22122010,38099,40050,53
22122011,38099,45000,49
22122012,38099,40000,47
22122013,37899,38499,28
22122014,37899,38499,27
22122015,37899,38499,26
22122016,37899,38499,26
22122017,37899,38499,26
22122018,37899,38499,25
22122019,37899,38499,25
22122020,37899,38499,28
22122021,37699,38499,27
22122022,37699,38499,28
22122023,37699,38499,27
22122100,37699,38499,27
22122101,37699,38499,27
22122102,37699,38499,27
22122103,37699,38499,27
22122104,37699,38499,27
22122105,37699,38499,27
22122106,37699,38499,26
22122107,37699,38499,29
22122108,37699,38499,29
22122109,37699,38499,29
22122110,37699,38499,29
22122111,37699,38499,28
22122112,37699,38499,28
22122113,37699,38499,26
22122114,37699,38499,46
22122115,37699,38499,48
22122116,37699,38499,48
22122117,37699,38499,49
22122118,37499,38499,50
22122119,37499,38499,51
22122120,37499,38499,49
22122121,37499,50099,37
22122122,37499,50099,37
22122123,37499,50099,36
22122200,37499,50099,36
22122201,37499,50099,35
22122202,37499,50099,35
22122203,37499,50099,34
22122204,35099,50099,34
22122205,35099,50099,33
22122206,35099,50099,33
22122207,35099,50099,30
22122208,35099,50099,30
22122209,35099,50099,29
22122210,35099,50099,31
22122211,35099,50099,33
22122212,35099,50099,34
22122213,35099,50099,36
22122214,35099,50099,36
22122215,34999,50099,36
22122216,34999,50099,37
22122217,34999,50099,37
22122218,34999,50099,36
22122219,34999,50099,36
22122220,34999,50099,33
22122221,34999,50099,33
22122222,34999,50099,33
22122223,34999,50099,33
22122300,34999,50099,33
22122301,34999,50099,33
22122302,34999,50099,33
22122303,34999,50099,33
22122304,34999,50099,33
22122305,34999,50099,33
22122306,34999,50099,33
22122307,30000,50099,33
22122308,30000,50099,33
22122309,30000,50099,34
22122310,30000,50099,35
22122311,29900,50099,36
22122312,29900,50099,35
22122313,29900,50099,33
22122314,29900,34999,13
22122315,29900,32499,12
22122316,29900,30000,11
22122317,29900,50000,31
22122318,29900,50000,31
22122319,29900,50000,31
22122320,29900,50000,31
22122321,29900,50000,30
22122322,29900,50000,30
22122323,29900,50000,30
22122400,29900,50000,31
22122401,29900,50000,32
22122402,29900,50000,33
22122403,29900,50000,33
22122404,29900,50000,33
22122405,29900,50000,33
22122406,29900,50000,33
22122407,29900,50000,33
22122408,29900,50000,34
22122409,25000,50000,35
22122410,25000,50000,32
22122411,25000,50000,33
22122412,25000,50000,33
22122413,25000,50000,32
22122414,25000,50000,32
22122415,25000,50000,31
22122416,25000,50000,31
22122417,25000,50000,31
22122418,25000,50000,31
22122419,25000,50000,33
22122420,25000,50000,33
22122421,25000,50000,32
22122422,25000,50000,32
22122423,25000,50000,31
22122500,25000,50000,31
22122501,25000,50000,30
22122502,25000,50000,29
22122503,25000,50000,29
22122504,25000,50000,29
22122505,25000,50000,30
22122506,25000,50000,30
22122507,25000,50000,29
22122508,25000,50000,29
22122509,25000,50000,29
22122510,25000,50000,29
22122511,25000,50000,28
22122512,25000,50000,28
22122513,25000,50000,28
22122514,25000,50000,29
22122515,25000,50000,29
22122516,25000,50000,29
22122517,25000,25000,8
22122518,25000,25000,9
22122519,24999,25000,9
22122520,24999,25000,9
22122521,24900,25000,10
22122522,24900,25000,11
22122523,24900,69900,51
22122600,24900,69900,50
22122601,24900,69900,50
22122602,24900,69900,50
22122603,24900,69900,50
22122604,24900,69900,50
22122605,24900,69900,50
22122606,24900,69900,49
22122607,24900,69900,49
22122608,24900,69900,48
22122609,24900,69900,47
22122610,24900,69900,47
22122611,24800,69900,46
22122612,24800,69900,47
22122613,24800,69900,47
