timestamp,min_price,median,quantity
22120411,50524,51555,16
22120412,50524,51555,16
22120413,50524,51555,15
22120414,50524,51555,16
22120415,50523,50523,32
22120416,50201,50523,27
22120417,50200,50523,41
22120418,50200,50523,41
22120419,50200,50200,61
22120420,50200,50200,61
22120421,50200,50200,61
22120422,50200,50200,55
22120423,50200,50200,55
22120500,50200,50200,55
22120501,50200,50200,55
22120502,50200,50200,55
22120503,50200,50200,55
22120504,50200,50200,55
22120505,50200,50200,55
22120506,50200,50200,55
22120507,50200,50200,55
22120508,50200,50200,55
22120509,50200,50200,55
22120510,50200,50200,60
22120511,50200,50200,60
22120512,50200,50200,60
22120513,50200,50200,60
22120514,50200,50200,59
22120515,50200,50200,59
22120516,50200,50200,58
22120517,50199,50200,59
22120518,50199,50200,59
22120519,50199,50200,54
22120520,50199,50200,54
22120522,50199,50200,54
22120523,50199,50200,54
22120600,50199,50200,54
22120601,50199,50200,54
22120602,50199,50200,54
22120603,50199,50200,54
22120604,50199,50200,54
22120605,50199,50200,54
22120606,50199,50200,52
22120607,50199,50200,52
22120608,50199,50200,52
22120609,50199,50200,52
22120610,50199,50200,52
22120611,50199,50200,56
22120612,50199,50200,56
22120613,50199,50200,56
22120614,50199,50200,56
22120615,50199,50200,40
22120616,50199,50200,39
22120617,50199,50200,25
22120618,50199,50200,31
22120619,50199,50199,16
22120620,50199,50199,16
22120621,50100,50198,35
22120622,50100,50198,35
22120623,50100,50198,35
22120700,50100,50198,35
22120701,50100,50198,35
22120702,50100,50198,35
22120703,50100,50198,35
22120704,50100,50198,35
22120705,50100,50198,35
22120706,50100,50198,35
22120707,50100,50198,35
22120708,50100,50198,35
22120709,50100,50198,35
22120710,50100,50198,30
22120711,50100,50198,30
22120712,50100,50198,30
22120713,50100,50198,36
22120714,50100,50198,36
22120715,50100,50198,36
22120716,50100,50198,36
22120717,50100,50198,35
22120718,50100,50198,34
22120719,50100,50198,40
22120720,50100,50198,40
22120721,50090,50198,43
22120722,50090,50198,43
22120723,50090,50198,43
22120800,50090,50198,43
22120801,50090,50198,42
22120802,50090,50198,42
22120803,50090,50198,42
22120804,50090,50198,42
22120805,50090,50198,42
22120806,50090,50198,42
22120807,50090,50198,42
22120808,50090,50198,42
22120809,50090,50198,38
22120810,50090,50198,39
22120811,50090,50198,39
22120812,50090,50100,43
22120813,50090,50100,43
22120814,50090,50100,43
22120815,50090,50100,43
22120816,50090,50100,43
22120817,50090,50100,43
22120818,50090,50100,43
22120819,50090,50100,37
22120820,50090,50100,37
22120821,50090,50100,15
22120822,50089,50089,31
22120823,44937,50089,40
22120900,44437,50089,41
22120901,44437,50089,41
22120902,44437,50089,41
22120903,44437,50089,41
22120904,44437,50089,41
22120905,44437,50089,41
22120906,44437,50089,41
22120907,44437,50089,41
22120908,44437,50089,41
22120909,44437,50089,41
22120910,44437,50089,42
22120911,44437,50089,42
22120912,44437,50089,43
22120913,44437,50089,38
22120914,44437,50089,38
22120915,44437,50089,38
22120916,44437,50089,43
22120917,44437,50089,43
22120918,44327,44937,67
22120919,44327,44437,62
22120920,44327,44437,62
22120921,44327,44437,62
22120922,44327,44437,62
22120923,44327,44437,60
22121000,44327,44437,60
22121001,44327,44437,65
22121002,44327,44437,65
22121003,44327,44437,65
22121004,44327,44437,65
22121005,44327,44437,65
22121006,44327,44437,65
22121007,44327,44437,65
22121008,44327,44437,65
22121009,44327,44437,65
22121010,44327,44437,63
22121011,44327,44437,63
22121012,44327,44437,58
22121013,44327,44437,59
22121014,44327,44437,64
22121015,44327,44437,64
22121016,44327,44437,64
22121017,44080,44437,73
22121018,44080,44437,53
22121019,44080,44437,53
22121020,44080,44437,53
22121021,44080,44437,53
22121022,44080,44327,37
22121023,43833,44327,32
22121100,43832,44080,47
22121101,43832,44080,47
22121102,43832,44080,47
22121103,43832,44080,47
22121104,43832,44080,47
22121105,43832,44080,47
22121106,43832,44080,47
22121107,43832,43832,67
22121108,43832,43832,67
22121109,43832,43832,67
22121110,43832,43832,67
22121111,43832,43832,67
22121112,40032,43832,76
22121113,37500,43832,85
22121114,37500,43832,86
22121115,37500,43832,86
22121116,37500,43832,82
22121117,37500,43832,84
22121118,37500,43832,80
22121119,37500,43832,85
22121120,37500,43832,85
22121121,37500,43832,86
22121122,37500,43832,86
22121123,36750,43832,85
22121200,36750,43832,93
22121201,36750,43832,88
22121202,36750,43832,88
22121203,36750,43832,88
22121204,36750,43832,88
22121205,36750,43832,88
22121206,36750,43832,88
22121207,36750,40032,68
22121208,36750,40032,68
22121209,36750,40032,72
22121210,36750,37500,77
22121211,36750,37500,77
22121212,36750,37500,77
22121213,36750,37500,77
22121214,36750,37500,72
22121215,36750,37500,72
22121216,36750,37500,71
22121217,36750,37500,63
22121218,36750,37500,63
22121219,36750,37500,83
22121220,36750,37500,83
22121221,36750,37500,82
22121222,36750,37500,82
22121223,36750,37500,82
22121300,36750,37500,65
22121301,36750,37500,65
22121302,36750,37500,65
22121303,36750,37500,65
22121304,36750,37500,65
22121305,36750,37500,65
22121306,36750,37500,65
22121307,36750,37500,65
22121308,36750,37500,65
22121309,36750,37500,65
22121310,36750,37500,65
22121311,36749,36750,81
22121312,36749,36750,81
22121313,36749,36750,72
22121314,36749,36750,66
22121315,36749,36750,66
22121316,36749,36750,66
22121317,36749,36750,66
22121318,36749,36750,63
22121319,36749,36749,38
22121320,36749,36749,38
22121321,36749,36749,38
22121322,36749,36749,39
22121323,36749,36749,38
22121400,36749,36749,38
22121401,36749,36749,32
22121402,36749,36749,32
22121403,36749,36749,32
22121404,36749,36749,32
22121405,36749,36749,32
22121406,36749,36749,32
22121407,36749,36749,32
22121408,36749,36749,32
22121409,36749,36749,28
22121410,36749,36749,23
22121411,36749,36749,28
22121412,36749,36749,28
22121413,36749,36749,32
22121414,36749,36749,32
22121415,36749,36749,32
22121416,36749,36749,32
22121417,36749,36749,32
22121418,36749,36749,32
22121419,36749,36749,32
22121420,36749,36749,32
22121421,36749,36749,32
22121422,36749,36749,31
22121423,36749,36749,31
22121500,36749,36749,31
22121501,36749,36749,30
22121502,36749,36749,31
22121503,36749,36749,31
22121504,36749,36749,31
22121505,36749,36749,31
22121506,36749,36749,31
22121507,36749,36749,31
22121508,36749,36749,31
22121509,36749,36749,15
22121510,36749,36749,15
22121511,36749,36749,15
22121512,36749,36749,15
22121513,36748,36748,26
22121514,36748,36748,26
22121515,36748,36748,26
22121516,36748,36748,26
22121517,36748,36748,26
22121518,36748,36748,26
22121519,36748,36748,26
22121520,36748,36748,26
22121521,36748,36748,26
22121522,36748,36748,26
22121523,36748,36748,26
22121600,36748,36748,26
22121601,36748,36748,26
22121602,36748,36748,25
22121603,36748,36748,25
22121604,36748,36748,25
22121605,36748,36748,26
22121606,36748,36748,26
22121607,36748,36748,26
22121608,36748,36748,26
22121609,36748,36748,26
22121610,36748,36748,26
22121611,36748,36748,26
22121612,36748,36748,21
22121613,36748,36748,22
22121614,36748,36748,22
22121615,36748,36748,22
22121616,36748,36748,22
22121617,36748,36748,22
22121618,36748,36748,22
22121619,36748,36748,22
22121620,36748,36748,22
22121621,36748,36748,22
22121622,36748,36748,22
22121623,36748,36748,22
22121700,36748,36748,22
22121701,36748,36748,22
22121702,36748,36748,22
22121703,36748,36748,22
22121704,36748,36748,30
22121705,36748,36748,30
22121706,36748,36748,29
22121707,36748,36748,29
22121708,36748,36748,29
22121709,36748,36748,29
22121710,36748,36748,29
22121711,36748,36748,29
22121712,36748,36748,29
22121713,36748,36748,13
22121714,36748,36748,13
22121715,36748,36748,14
22121716,36748,36748,14
22121717,36748,36748,18
22121718,36748,36748,18
22121719,36748,36748,18
22121720,36748,36748,18
22121721,36748,36748,18
22121722,36748,36748,18
22121723,36748,36748,18
22121800,36748,36748,18
22121801,36748,36748,18
22121802,36748,36748,18
22121803,36748,36748,18
22121804,36748,36748,18
22121805,36748,36748,18
22121806,36748,36748,18
22121807,36748,36748,18
22121808,36748,36748,18
22121809,36748,36748,18
22121810,36748,36748,18
22121811,36748,36748,18
22121812,36748,36748,18
22121813,36748,36748,13
22121814,36748,36748,13
22121815,36748,36748,12
22121816,36747,36747,28
22121817,36747,36747,28
22121818,36747,36747,28
22121819,36747,36747,28
22121820,36747,36747,29
22121821,36747,36747,29
22121822,36747,36747,29
22121823,36747,36747,29
22121900,36747,36747,29
22121901,36747,36747,29
22121902,36747,36747,29
22121903,36747,36747,29
22121904,36747,36747,21
22121905,36747,36747,21
22121906,36747,36747,21
22121907,36747,36747,21
22121908,36747,36747,21
22121909,36747,36747,21
22121910,36747,36747,21
22121911,36747,36747,21
22121912,36747,36747,21
22121913,36747,36747,34
22121914,36747,36747,34
22121915,36747,36747,34
22121916,547,36747,35
22121917,36747,36747,31
22121918,36747,36747,31
22121919,36747,36747,31
22121920,36747,36747,30
22121921,36747,36747,31
22121922,35000,36747,33
22121923,35000,36747,33
22122000,35000,36747,33
22122001,35000,36747,33
22122002,35000,36747,50
22122003,35000,36747,50
22122004,35000,36747,50
22122005,35000,36747,50
22122006,35000,36747,50
22122007,35000,36747,50
22122008,35000,36747,50
22122009,35000,36747,54
22122010,35000,36747,54
22122011,35000,36747,54
22122012,35000,36747,54
22122013,35000,36747,54
22122014,35000,36747,54
22122015,35000,36747,54
22122016,35000,35000,38
22122017,35000,35000,37
22122018,34999,35000,53
22122019,34999,35000,53
22122020,34999,35000,58
22122021,34999,35000,57
22122022,34999,35000,55
22122023,20099,35000,57
22122100,20099,35000,57
22122101,20099,35000,57
22122102,20099,35000,57
22122103,20099,35000,57
22122104,20099,35000,57
22122105,20099,35000,57
22122106,20099,35000,57
22122107,20099,35000,57
22122108,20099,35000,57
22122109,20099,35000,57
22122110,20099,35000,57
22122111,20099,35000,57
22122112,20099,35000,58
22122113,20099,34999,51
22122114,20099,34999,51
22122115,20099,34999,51
22122116,20099,34999,59
22122117,20099,34999,59
22122118,20099,34999,59
22122119,20099,34999,59
22122120,20099,34999,59
22122121,19989,34999,63
22122122,19989,34999,63
22122123,19989,34999,61
22122200,19989,34999,61
22122201,19989,34999,61
22122202,19989,34999,44
22122203,19989,34999,44
22122204,19989,34999,44
22122205,19989,34999,44
22122206,19989,34999,44
22122207,19989,34999,44
22122208,19989,34999,44
22122209,19989,34999,40
22122210,19989,34999,40
22122211,19989,34999,40
22122212,19989,20099,44
22122213,19989,20099,43
22122214,19989,20099,61
22122215,19989,20099,61
22122216,19989,19989,82
22122217,19989,19989,82
22122218,19989,19989,67
22122219,19989,19989,67
22122220,19590,19989,63
22122221,19590,19989,68
22122222,19590,19989,68
22122223,19590,19989,68
22122300,19590,19989,68
22122301,19589,19989,84
22122302,19589,19989,66
22122303,19589,19989,66
22122304,19589,19989,66
22122305,19589,19989,66
22122306,19589,19989,66
22122307,19589,19989,66
22122308,19589,19989,66
22122309,19589,19989,67
22122310,19589,19989,67
22122311,19589,19989,67
22122312,19589,19989,67
22122313,19589,19989,62
22122314,19589,19989,62
22122315,19589,19989,62
22122316,19589,19589,33
22122317,19589,19589,33
22122318,19589,19589,32
22122319,19589,19589,33
22122320,19589,19589,32
22122321,19589,19589,29
22122322,19589,19589,32
22122323,19589,19589,40
22122400,19589,19589,40
22122401,19589,19589,41
22122402,19589,19589,41
22122403,19589,19589,41
22122404,19589,19589,41
22122405,19589,19589,41
22122406,19589,19589,41
22122407,19589,19589,41
22122408,19589,19589,41
22122409,19589,19589,40
22122410,19589,19589,40
22122411,19589,19589,40
22122412,19589,19589,35
22122413,19589,19589,40
22122414,19589,19589,40
22122415,19589,19589,40
22122416,19589,19589,60
22122417,19589,19589,60
22122418,19589,19589,67
22122419,19589,19589,66
22122420,19589,19589,66
22122421,19589,19589,61
22122422,19589,19589,61
22122423,19589,19589,80
22122500,19589,19589,85
22122501,19589,19589,68
22122502,19589,19589,68
22122503,19589,19589,68
22122504,19589,19589,68
22122505,19589,19589,69
22122506,19589,19589,69
22122507,19589,19589,69
22122508,19589,19589,69
22122509,19589,19589,69
22122510,19589,19589,69
22122511,19589,19589,69
22122512,19589,19589,69
22122513,19589,19589,69
22122514,19589,19589,69
22122515,19589,19589,70
22122516,19589,19589,50
22122517,19589,19589,50
22122518,19589,19589,50
22122519,19589,19589,50
22122520,19589,19589,50
22122521,19589,19589,49
22122522,19589,19589,46
22122523,19589,19589,36
22122600,19589,19589,31
22122601,19589,19589,31
22122602,19589,19589,31
22122603,19588,19589,47
22122604,19588,19589,47
22122605,19588,19589,47
22122606,19588,19589,47
22122607,19588,19589,47
22122608,19588,19589,47
22122609,19588,19589,47
22122610,19588,19589,47
22122611,19588,19589,47
22122612,19588,19589,47
22122613,19588,19589,47
22122614,19588,19589,47
22122615,19588,19588,53
22122616,19588,19588,53
22122617,19588,19588,54
22122618,19588,19588,47
22122619,19588,19588,47
22122620,19588,19588,47
22122621,19588,19588,47
22122622,19588,19588,47
22122623,19588,19588,30
22122700,19588,19588,30
22122701,19588,19588,31
22122702,19588,19588,31
22122703,19588,19588,31
22122704,19588,19588,31
22122705,19588,19588,31
22122706,19588,19588,31
22122707,19588,19588,31
22122708,19588,19588,31
22122709,19588,19588,31
22122710,19588,19588,31
22122711,19588,19588,36
22122712,19588,19588,36
22122713,19588,19588,35
22122714,19588,19588,35
22122715,19588,19588,33
22122716,19588,19588,38
22122717,19588,19588,37
22122718,19588,19588,37
22122719,19588,19588,37
22122720,17588,19588,45
22122721,17588,19588,45
22122722,17588,19588,46
22122723,17588,19588,46
22122800,17588,19588,46
22122801,17588,19588,45
22122802,17588,19588,46
22122803,17588,19588,30
22122804,17588,19588,30
22122805,17588,19588,30
22122806,17588,19588,30
22122807,17588,19588,30
22122808,17588,19588,30
22122809,17588,19588,30
22122810,17588,19588,30
22122811,17588,19588,25
22122812,17588,19588,25
22122813,17588,18588,20
22122814,17588,18588,20
22122815,17586,17587,32
22122816,17586,17587,32
22122817,17586,17587,37
22122818,17586,17587,37
22122819,17586,17587,37
22122820,17586,17587,37
22122821,17586,17587,37
22122822,17586,17587,36
22122823,17586,17587,42
22122900,17586,17587,42
22122901,17586,17587,46
22122902,17586,17587,46
22122903,17586,17587,46
22122904,17586,17587,46
22122905,17586,17587,46
22122906,17586,17587,46
22122907,17586,17587,46
22122908,17586,17587,46
22122909,17586,17587,46
22122910,17586,17587,53
22122911,17586,17587,54
22122912,17586,17587,54
22122913,17586,17587,54
22122914,17586,17587,54
22122915,17586,17587,53
22122916,17585,17587,49
22122917,17585,17586,54
22122918,17585,17586,54
22122919,17585,17586,54
22122920,17585,17586,46
22122921,17585,17586,46
22122922,17585,17586,46
22122923,17585,17586,47
22123000,17585,17586,48
22123001,17585,17586,48
22123002,17585,17586,47
22123003,17585,17586,55
22123004,17585,17586,55
22123005,17585,17586,55
22123006,17585,17586,55
22123007,17585,17586,55
22123008,17585,17586,55
22123009,17585,17586,55
22123010,17585,17586,55
22123011,17585,17586,54
22123012,17585,17586,55
22123013,17585,17586,55
22123014,17585,17586,55
22123015,17585,17586,39
22123016,17584,17586,39
22123017,17584,17585,34
22123018,17584,17585,34
22123019,17584,17585,34
22123020,17584,17585,39
22123021,17584,17585,39
22123022,17584,17585,39
22123023,17584,17585,34
22123100,17584,17585,33
22123101,17584,17585,30
22123102,17584,17585,30
22123103,17584,17585,22
22123104,17584,17585,22
22123105,17584,17585,22
22123106,17584,17585,22
22123107,17584,17585,22
22123108,17584,17585,22
22123109,17584,17585,22
22123110,17585,17585,15
22123111,17585,17585,19
22123112,17585,17585,19
22123113,17585,17585,24
22123114,17585,17585,25
22123115,17585,17585,25
22123116,17585,17585,25
22123117,17585,17585,20
22123118,17585,17585,20
22123119,17585,17585,25
22123120,17585,17585,25
22123121,17585,17585,25
22123122,17585,17585,25
22123123,17585,17585,25
23010100,17585,17585,23
23010101,17585,17585,23
23010102,17585,17585,23
23010103,17585,17585,25
23010104,17585,17585,25
23010105,17585,17585,26
23010106,17585,17585,26
23010107,17585,17585,26
23010108,17585,17585,26
23010109,17585,17585,26
23010110,17585,17585,26
23010111,17585,17585,19
23010112,17585,17585,18
23010113,17585,17585,18
23010114,17585,17585,18
23010115,17585,17585,18
23010116,17585,17585,18
23010117,17585,17585,18
23010118,17585,17585,18
23010119,17585,17585,18
23010120,17585,17585,18
23010121,17585,17585,19
23010122,17585,17585,19
23010123,17585,17585,19
23010200,17585,17585,19
23010201,17585,17585,19
23010202,17585,17585,19
23010203,17585,17585,19
23010204,17585,17585,19
23010205,17585,17585,19
23010206,17585,17585,19
23010207,17585,17585,19
23010208,17585,17585,19
23010209,17585,17585,19
23010210,17585,17585,19
23010211,17585,17585,15
23010212,17585,17585,19
23010213,17585,17585,14
23010214,17585,17585,13
23010215,17585,17585,13
23010216,17585,17585,13
23010217,17585,17585,18
23010218,17585,17585,18
23010219,17585,17585,13
23010220,17585,17585,13
23010223,25000,25000,16
23010300,25000,25000,18
23010301,25000,25000,23
23010302,25000,25000,23
23010303,25000,25000,23
23010304,25000,25000,23
23010305,25000,25000,23
23010306,25000,25000,23
23010307,25000,25000,23
23010308,25000,25000,23
23010309,25000,25000,23
23010310,25000,25000,23
23010311,25000,25000,23
23010312,25000,25000,23
23010313,25000,25000,23
23010314,25000,25000,23
23010315,25000,25000,30
23010316,25000,25000,30
23010317,25000,25000,30
23010318,25000,25000,30
23010319,25000,25000,30
23010320,25000,25000,30
23010321,25000,25000,30
23010322,25000,25000,30
23010323,25000,25000,30
23010400,24909,25000,36
23010401,24909,25000,36
23010402,24909,25000,36
23010403,24909,25000,36
23010404,24909,25000,36
23010405,24909,25000,36
23010406,24909,25000,36
23010407,24909,25000,44
23010408,24909,25000,44
23010409,24909,25000,44
23010410,24909,25000,44
23010411,24909,25000,44
23010412,24909,25000,44
23010413,24909,25000,44
23010414,24909,25000,44
23010415,24909,25000,37
23010416,24909,25000,37
23010417,24909,25000,37
23010418,24909,24909,57
23010419,24909,24909,57
23010420,24909,24909,60
23010421,24799,24909,64
23010422,24799,24909,64
23010423,24799,24909,48
23010500,24799,24909,48
23010501,24799,24909,53
23010502,24798,24909,69
23010503,24798,24909,69
23010504,24798,24909,69
23010505,24798,24909,74
23010506,24798,24909,74
23010507,24798,24909,74
23010508,24798,24909,71
23010509,24798,24909,71
23010510,24798,24799,78
23010511,24798,24799,78
23010512,20098,24799,86
23010513,20098,24799,86
23010514,20098,24799,86
23010515,20098,24799,86
23010516,20098,24799,86
23010517,20098,24799,86
23010518,20098,24798,67
23010519,20098,24798,67
23010520,20098,24798,67
23010521,20098,24798,67
23010522,20098,24798,67
23010523,20098,24798,67
23010600,20098,24798,56
23010601,20098,24798,56
23010602,20098,24798,56
23010603,20098,24798,56
23010604,20098,24798,56
23010605,20098,24798,51
23010606,20098,24798,51
23010607,20098,24798,43
23010608,20098,24798,43
23010609,20098,24798,43
23010610,20098,24798,36
23010611,20098,24798,36
23010612,20098,24798,36
23010613,20098,24798,36
23010614,20098,24798,36
23010615,20098,24798,36
23010616,20098,24798,36
23010617,20098,24798,36
23010618,20098,24798,35
23010619,20098,24798,37
23010620,20098,24798,37
23010621,20098,24798,33
23010622,20098,24798,33
23010623,20098,24798,33
23010700,20098,24798,33
23010701,20098,24798,23
23010702,20098,20098,7
23010703,20098,20098,7
23010704,20098,20098,7
23010705,20098,20098,7
23010706,20098,20098,7
23010707,20098,20098,7
23010708,20098,20098,7
23010709,20098,20098,14
23010710,20098,20098,14
23010711,20098,20098,14
23010712,20098,20098,9
23010713,20098,20098,9
23010714,20098,20098,13
23010715,20098,20098,13
23010716,30019,30019,12
23010717,30019,30019,12
23010718,30019,30019,12
23010719,30019,30019,12
23010720,30019,30019,12
23010721,30019,30019,12
23010722,30019,30019,12
23010723,30019,30019,12
23010800,30019,30019,12
23010801,30019,30019,12
23010802,30019,30019,12
23010803,30019,30019,12
23010813,42601,42601,5
23010814,42601,42601,7
23010815,42601,42601,7
23010816,42601,42601,7
23010817,42601,42601,7
23010818,42601,42601,7
23010819,42601,42601,7
23010820,42601,42601,7
23010821,42601,42601,7
23010822,42601,42601,7
23010823,42601,42601,7
23010900,42601,42601,7
23010901,42600,42600,23
23010902,42600,42600,21
23010903,42600,42600,21
23010904,42600,42600,21
23010905,42600,42600,21
23010906,42600,42600,21
23010907,42600,42600,21
23010908,42600,42600,21
23010909,42600,42600,21
23010910,42600,42600,21
23010911,42600,42600,21
23010912,42600,42600,21
23010913,42600,42600,24
23010914,42600,42600,24
23010915,25000,42600,28
23010916,25000,42600,28
23010917,25000,42600,28
23010918,25000,42600,28
23010919,25000,42600,28
23010920,25000,42600,28
23010921,25000,42600,28
23010922,25000,42600,28
23010923,25000,42600,28
23011000,25000,42600,28
23011001,25000,42600,28
23011002,25000,42600,28
23011003,25000,42600,28
23011004,25000,42600,28
23011005,25000,42600,28
23011006,25000,42600,28
23011007,25000,42600,28
23011008,25000,42600,28
23011009,25000,42600,28
23011010,25000,42600,28
23011011,25000,42600,28
23011012,25000,42600,28
23011013,25000,42600,20
23011014,25000,42600,20
23011015,25000,42600,20
23011016,25000,42600,20
23011017,25000,42600,20
23011018,25000,42600,20
23011019,25000,42600,20
23011020,25000,42600,20
23011021,25000,42600,20
23011022,25000,42600,28
23011023,25000,39900,36
23011100,25000,39900,36
23011101,25000,25000,20
23011102,24999,25000,36
23011103,24999,25000,36
23011104,24999,25000,36
23011105,24999,25000,36
23011106,24999,25000,36
23011107,24999,25000,39
23011108,24999,25000,39
23011109,24999,25000,39
23011110,24999,25000,39
23011111,24999,25000,39
23011112,24999,25000,39
23011113,22500,24999,49
23011114,22500,24999,49
23011115,22500,24999,45
23011116,22500,24999,45
23011117,22500,24999,50
23011118,22500,24999,50
23011119,22500,24999,50
23011120,22500,24999,50
23011121,22500,24999,51
23011122,22500,24999,51
23011123,22500,24999,50
23011200,22500,24999,50
23011201,22500,24999,50
23011202,22500,24999,50
23011203,22500,24999,50
23011204,22500,24999,50
23011205,22500,24999,50
23011206,22500,24999,50
23011207,22500,24999,47
23011208,22500,24999,47
23011209,22500,24999,47
23011210,22500,24999,47
23011211,22500,24999,47
23011212,22500,24999,47
23011213,22500,24999,47
23011214,22500,24999,47
23011215,22500,24999,47
23011216,22500,24999,47
23011217,22500,24999,47
23011218,22500,24999,47
23011219,22500,24999,47
23011220,22500,24999,47
23011221,22500,24999,50
23011222,22500,24999,42
23011223,22500,24999,30
23011300,22499,22500,34
23011301,22499,22500,34
23011302,22499,22500,18
23011303,22499,22500,18
23011304,22499,22500,18
23011305,22499,22500,18
23011306,22499,22500,18
23011307,22499,22500,18
23011308,22499,22500,18
23011309,22499,22500,18
23011310,22500,22500,14
23011311,22500,22500,14
23011312,22500,22500,14
23011319,20000,20000,4
23011320,20000,20000,4
23011512,10019,10019,1
23011513,10019,10019,1
23011514,10019,10019,1
23011515,10019,10019,3
23011516,10019,10019,43
23011517,5019,10019,46
23011518,5019,10019,46
23011519,5019,10019,46
23011520,5019,10019,46
23011521,5019,10019,46
23011522,5019,10019,46
23011523,5019,10019,46
23011600,10019,10019,41
23011601,10019,10019,46
23011602,10019,10019,46
23011603,10019,10019,46
23011604,10019,10019,46
23011605,10019,10019,46
23011606,10019,10019,46
23011607,10019,10019,46
23011608,10019,10019,46
23011609,10019,10019,46
23011610,10019,10019,46
23011611,10019,10019,46
23011612,10019,10019,46
23011613,10019,10019,46
23011614,10019,10019,53
23011615,10019,10019,51
23011616,10019,10019,13
23011617,10019,10019,13
23011618,10019,10019,3
23011619,10019,10019,3
23011620,10019,10019,3
23011621,10019,10019,3
23011622,10019,10019,3
23011623,10019,10019,3
23011700,10019,10019,41
23011701,10018,10019,60
23011702,10018,10019,58
23011703,10018,10019,58
23011704,10018,10019,58
23011705,10018,10019,58
23011706,10018,10019,58
23011707,10018,10019,58
23011708,10018,10019,58
23011709,10018,10019,58
23011710,10018,10019,58
23011711,10018,10019,58
23011712,10018,10019,58
23011713,10018,10019,57
23011714,10018,10019,57
23011715,10018,10019,57
23011716,10018,10019,57
23011717,10018,10019,57
23011718,10018,10019,57
23011719,10018,10019,57
23011720,10018,10019,58
23011721,10018,10019,58
23011722,10018,10019,58
23011723,10018,10019,58
23011800,10018,10018,20
23011801,10018,10018,17
23011802,10018,10018,17
23011803,10018,10018,17
23011804,10018,10018,17
23011805,10018,10018,17
23011806,10018,10018,17
23011807,10018,10018,17
23011808,10018,10018,17
23011809,10018,10018,17
23011810,10018,10018,17
23011811,10018,10018,17
23011812,10018,10018,17
23011813,10018,10018,17
23011814,10018,10018,17
23011815,10018,10018,17
23011816,10018,10018,17
23011817,10018,10018,17
23011823,19,19,38
23012109,20099,20099,1
23012110,20099,20099,1
23012111,20099,20099,1
23012112,20099,20099,1
23012113,20099,20099,1
23012114,20099,20099,1
23012115,20099,20099,1
23012116,1019,1019,2
23012300,1819,1819,1
23012301,1819,1819,1
23012302,1819,1819,1
23012506,18141,18141,1
23012507,18141,18141,1
23012508,18141,18141,1
23012509,18141,18141,1
23012510,18141,18141,1
23012511,18141,18141,1
23012615,11413,11413,8
