timestamp,min_price,median,quantity
22120411,500,500,5
22120412,500,500,5
22120413,500,500,5
22120414,500,500,5
22120415,500,500,5
22120416,500,500,5
22120417,500,500,5
22120418,500,500,5
22120419,500,500,3
22120420,500,500,3
22120421,500,500,4
22120422,500,500,4
22120423,500,500,6
22120500,500,500,6
22120501,500,500,6
22120502,500,500,6
22120503,500,500,6
22120504,500,500,6
22120505,500,500,6
22120506,500,500,7
22120507,500,500,7
22120508,500,500,7
22120509,500,500,7
22120510,500,500,7
22120511,500,500,6
22120512,500,500,6
22120513,500,500,6
22120514,500,500,6
22120515,500,500,6
22120516,500,500,6
22120517,500,500,7
22120518,500,500,7
22120519,500,500,7
22120520,500,500,7
22120522,500,500,7
22120523,500,500,8
22120600,500,500,8
22120601,500,500,8
22120602,500,500,8
22120603,500,500,8
22120604,500,500,8
22120605,500,500,8
22120606,500,500,7
22120607,500,500,7
22120608,500,500,7
22120609,500,500,7
22120610,500,500,7
22120611,500,500,5
22120612,500,500,5
22120613,500,500,5
22120614,500,500,5
22120615,500,500,5
22120616,500,500,5
22120617,500,500,5
22120618,500,500,5
22120619,500,500,5
22120620,500,500,5
22120621,500,500,4
22120622,500,500,4
22120623,500,150250,2
22120700,500,150250,2
22120701,500,150250,2
22120702,500,150250,2
22120703,500,150250,2
22120704,500,150250,2
22120705,500,150250,2
22120706,500,500,3
22120707,500,500,3
22120708,500,500,3
22120709,500,500,3
22120710,500,500,3
22120711,500,500,4
22120712,500,500,4
22120713,500,500,4
22120714,500,500,4
22120715,500,500,4
22120716,500,500,4
22120717,500,500,5
22120718,500,500,6
22120719,500,500,6
22120720,500,500,6
22120721,500,500,7
22120722,500,500,7
22120723,500,500,6
22120800,500,500,6
22120801,500,500,6
22120802,500,500,6
22120803,500,500,6
22120804,500,500,6
22120805,500,500,6
22120806,500,500,6
22120807,500,500,6
22120808,500,500,6
22120809,500,500,6
22120810,500,500,7
22120811,500,500,6
22120812,500,500,6
22120813,500,500,6
22120814,500,500,6
22120815,500,500,7
22120816,500,500,7
22120817,500,500,7
22120818,500,500,7
22120819,500,500,7
22120820,500,500,7
22120821,500,500,7
22120822,500,500,7
22120823,500,500,7
22120900,500,500,7
22120901,500,500,7
22120902,500,500,7
22120903,500,500,7
22120904,500,500,7
22120905,500,500,7
22120906,500,500,6
22120907,500,500,6
22120908,500,500,6
22120909,500,500,6
22120910,500,500,6
22120911,500,500,6
22120912,500,500,6
22120913,500,500,6
22120914,500,500,6
22120915,500,500,5
22120916,500,500,5
22120917,500,500,3
22120918,500,500,3
22120919,500,500,3
22120920,500,500,3
22120921,500,500,3
22120922,500,500,3
22120923,500,500,3
22121000,500,500,4
22121001,500,500,4
22121002,500,500,4
22121003,500,500,4
22121004,800002,800002,4
22121005,800002,800002,4
22121006,800002,800002,4
22121007,800002,800002,4
22121008,800002,800002,4
22121009,800002,800002,4
22121010,800002,800002,4
22121011,800002,800002,4
22121012,800002,800002,4
22121013,800002,800002,4
22121014,800002,800002,4
22121015,800002,800002,5
22121016,800002,800002,5
22121017,800002,800002,5
22121018,800002,800002,5
22121019,800002,800002,5
22121020,800002,800002,5
22121021,800002,800002,5
22121022,800002,800002,5
22121023,800002,800002,5
22121100,800002,800002,5
22121101,800002,800002,5
22121102,800002,800002,5
22121103,800002,800002,5
22121104,800002,800002,5
22121105,800002,800002,5
22121106,800002,800002,5
22121107,800002,800002,6
22121108,800002,800002,6
22121109,800002,800002,6
22121110,800002,800002,6
22121111,800002,800002,6
22121112,800002,800002,6
22121113,800002,800002,6
22121114,800002,800002,6
22121115,800002,800002,6
22121116,800002,800002,6
22121117,100000,800002,7
22121118,100000,800002,7
22121119,100000,800002,7
22121120,100000,800002,7
22121121,100000,800002,7
22121122,100000,800002,7
22121123,100000,800002,7
22121200,100000,800002,7
22121201,100000,800002,7
22121202,100000,800002,7
22121203,100000,800002,7
22121204,100000,100000,5
22121205,100000,100000,5
22121206,100000,100000,5
22121207,100000,100000,5
22121208,100000,100000,5
22121209,100000,100000,5
22121210,100000,100000,5
22121211,100000,100000,5
22121212,100000,100000,5
22121213,100000,100000,5
22121214,100000,100000,5
22121215,100000,100000,5
22121216,100000,100000,4
22121217,100000,100000,4
22121218,100000,100000,4
22121219,100000,100000,4
22121220,100000,100000,4
22121221,100000,100000,4
22121222,100000,100000,4
22121223,100000,100000,4
22121300,100000,100000,5
22121301,100000,100000,5
22121302,100000,100000,5
22121303,100000,100000,5
22121304,100000,100000,4
22121305,100000,100000,4
22121306,100000,100000,4
22121307,100000,100000,3
22121308,100000,100000,3
22121309,100000,100000,3
22121310,100000,100000,3
22121311,100000,100000,3
22121312,100000,100000,3
22121313,100000,100000,3
22121314,100000,100000,4
22121315,100000,100000,4
22121316,100000,100000,4
22121317,100000,100000,4
22121318,100000,100000,3
22121319,100000,100000,3
22121320,100000,100000,3
22121321,100000,100000,3
22121322,100000,100000,3
22121323,100000,100000,3
22121400,100000,100000,4
22121401,100000,100000,3
22121402,100000,100000,3
22121403,100000,100000,3
22121404,100000,100000,3
22121405,100000,100000,2
22121406,100000,100000,2
22121407,100000,100000,2
22121408,100000,100000,2
22121409,100000,100000,2
22121410,100000,100000,2
22121411,100000,100000,2
22121412,100000,100000,2
22121413,100000,100000,2
22121414,100000,100000,2
22121415,100000,100000,2
22121416,100000,100000,2
22121417,100000,100000,2
22121418,100000,100000,2
22121419,100000,100000,2
22121420,100000,100000,2
22121421,100000,100000,2
22121422,100000,100000,1
22121423,100000,100000,1
22121500,100000,100000,1
22121501,100000,100000,1
22121502,100000,100000,1
22121503,100000,100000,1
22121504,100000,100000,1
22121505,100000,100000,1
22121506,100000,100000,1
22121507,100000,100000,2
22121508,100000,100000,2
22121509,100000,100000,2
22121510,100000,100000,2
22121511,100000,100000,2
22121512,100000,100000,2
22121513,100000,100000,2
22121514,100000,100000,2
22121515,100000,100000,2
22121516,100000,100000,2
22121517,100000,100000,2
22121518,100000,100000,2
22121519,100000,100000,2
22121520,100000,100000,2
22121521,100000,100000,2
22121522,100000,100000,2
22121523,100000,100000,2
22121600,100000,100000,2
22121601,100000,100000,2
22121602,100000,100000,2
22121603,100000,100000,2
22121604,100000,100000,2
22121605,100000,100000,2
22121606,100000,100000,2
22121607,100000,100000,2
22121608,100000,100000,2
22121609,100000,100000,2
22121610,100000,100000,2
22121611,100000,100000,2
22121612,100000,100000,2
22121613,100000,100000,2
22121614,100000,100000,2
22121615,100000,100000,2
22121616,100000,100000,2
22121617,100000,100000,2
22121618,100000,100000,2
22121619,100000,100000,2
22121620,100000,100000,2
22121621,100000,100000,2
22121622,100000,100000,3
22121623,100000,100000,3
22121700,100000,100000,2
22121701,100000,100000,2
22121702,100000,100000,2
22121703,100000,100000,2
22121704,100000,100000,2
22121705,100000,100000,2
22121706,100000,100000,2
22121707,100000,100000,2
22121708,100000,100000,2
22121709,100000,100000,2
22121710,100000,100000,2
22121711,100000,100000,2
22121712,100000,100000,2
22121713,100000,100000,2
22121714,100000,100000,2
22121715,100000,100000,3
22121716,100000,100000,3
22121717,100000,100000,4
22121718,100000,100000,4
22121719,100000,100000,4
22121720,100000,100000,4
22121721,100000,100000,4
22121722,100000,100000,3
22121723,100000,100000,3
22121800,99900,100000,6
22121801,99900,100000,6
22121802,99900,100000,6
22121803,99900,100000,6
22121804,99900,100000,6
22121805,99900,100000,6
22121806,99900,100000,6
22121807,99900,100000,7
22121808,99900,100000,7
22121809,99900,100000,7
22121810,99900,99950,8
22121811,99900,99950,8
22121812,99900,99950,8
22121813,99900,99950,8
22121814,99900,99950,8
22121815,99900,99950,8
22121816,99900,99950,8
22121817,99900,99950,8
22121818,99900,99950,8
22121819,99900,99950,8
22121820,99900,99950,8
22121821,50000,99900,9
22121822,50000,99900,9
22121823,50000,99900,9
22121900,50000,99950,8
22121901,50000,99950,8
22121902,50000,99950,8
22121903,50000,99950,8
22121904,50000,99950,8
22121905,50000,99950,8
22121906,50000,99950,8
22121907,50000,99950,8
22121908,50000,99950,8
22121909,50000,99950,8
22121910,50000,99950,8
22121911,50000,99950,8
22121912,50000,99950,8
22121913,50000,99950,8
22121914,50000,99950,8
22121915,50000,99900,7
22121916,50000,99900,7
22121917,50000,99900,7
22121918,50000,99900,7
22121919,50000,99900,8
22121920,50000,99900,8
22121921,50000,99900,7
22121922,50000,99900,8
22121923,49800,99900,9
22122000,49800,50000,7
22122001,49800,50000,7
22122002,49800,50000,7
22122003,49800,50000,7
22122004,49800,50000,7
22122005,49800,50000,7
22122006,49800,50000,7
22122007,49800,50000,6
22122008,49800,50000,6
22122009,49800,50000,6
22122010,49800,50000,6
22122011,49800,50000,5
22122012,49800,50000,5
22122013,49800,50000,4
22122014,49800,50000,4
22122015,49800,50000,4
22122016,40000,50000,5
22122017,40000,50000,5
22122018,40000,50000,5
22122019,40000,49900,4
22122020,40000,49800,5
22122021,40000,49800,5
22122022,40000,44900,4
22122023,40000,40000,3
22122100,40000,40000,3
22122101,40000,40000,3
22122102,40000,40000,3
22122103,40000,40000,3
22122104,40000,40000,3
22122105,40000,40000,3
22122106,40000,40000,3
22122107,40000,40000,3
22122108,40000,40000,3
22122109,40000,40000,3
22122110,40000,40000,3
22122111,40000,40000,3
22122112,40000,45000,4
22122113,40000,45000,4
22122114,40000,45000,4
22122115,40000,45000,4
22122116,40000,50000,3
22122117,40000,70000,2
22122118,40000,70000,2
22122119,40000,40000,3
22122120,40000,70000,2
22122121,40000,40000,3
22122122,40000,40000,3
22122123,40000,40000,3
22122200,40000,40000,3
22122201,40000,40000,3
22122202,40000,40000,3
22122203,40000,40000,3
22122204,40000,40000,4
22122205,40000,40000,4
22122206,40000,40000,5
22122207,40000,40000,5
22122208,40000,40000,5
22122209,40000,40000,5
22122210,40000,40000,6
22122211,40000,40000,6
22122212,40000,40000,6
22122213,40000,40000,7
22122214,40000,40000,7
22122215,40000,40000,7
22122216,40000,40000,7
22122217,40000,40000,7
22122218,40000,40000,7
22122219,40000,40000,7
22122220,40000,40000,7
22122221,40000,40000,7
22122222,40000,40000,7
22122223,40000,40000,7
22122300,40000,40000,7
22122301,40000,40000,7
22122302,40000,40000,8
22122303,40000,40000,8
22122304,40000,40000,7
22122305,40000,40000,9
22122306,40000,40000,9
22122307,40000,40000,9
22122308,40000,40000,9
22122309,40000,40000,9
22122310,40000,40000,9
22122311,40000,40000,9
22122312,40000,40000,8
22122313,40000,40000,8
22122314,40000,40000,8
22122315,40000,40000,8
22122316,40000,40000,8
22122317,40000,40000,8
22122318,40000,40000,8
22122319,40000,40000,7
22122320,40000,40000,7
22122321,40000,40000,6
22122322,40000,40000,6
22122323,40000,40000,6
22122400,40000,40000,6
22122401,40000,40000,6
22122402,40000,40000,6
22122403,40000,40000,6
22122404,40000,40000,7
22122405,40000,40000,5
22122406,40000,40000,5
22122407,40000,40000,5
22122408,40000,40000,5
22122409,40000,40000,5
22122410,40000,40000,4
22122411,40000,40000,5
22122412,40000,40000,5
22122413,40000,40000,4
22122414,40000,40000,5
22122415,40000,40000,6
22122416,40000,40000,6
22122417,40000,40000,7
22122418,40000,40000,7
22122419,40000,40000,9
22122420,40000,40000,10
22122421,40000,40000,10
22122422,20000,40000,11
22122423,20000,40000,11
22122500,20000,40000,11
22122501,20000,40000,11
22122502,20000,40000,10
22122503,20000,40000,10
22122504,20000,40000,10
22122505,20000,40000,10
22122506,20000,40000,10
22122507,20000,40000,10
22122508,20000,40000,10
22122509,20000,40000,10
22122510,20000,40000,10
22122511,20000,40000,10
22122512,20000,40000,10
22122513,20000,40000,10
22122514,20000,40000,9
22122515,20000,40000,9
22122516,20000,40000,9
22122517,10000,40000,10
22122518,10000,40000,10
22122519,10000,40000,8
22122520,10000,40000,8
22122521,10000,40000,10
22122522,10000,40000,9
22122523,10000,40000,9
22122600,10000,40000,9
22122601,10000,40000,9
22122602,10000,40000,9
22122603,10000,40000,9
22122604,10000,40000,8
22122605,10000,40000,8
22122606,10000,40000,8
22122607,10000,25000,8
22122608,10000,25000,8
22122609,10000,25000,8
22122610,10000,25000,8
22122611,10000,10000,7
22122612,10000,10000,7
22122613,10000,10000,8
22122614,10000,10000,8
22122615,10000,10000,7
22122616,10000,10000,7
22122617,10000,10000,6
22122618,10000,10000,6
22122619,10000,10000,6
22122620,999,10000,6
22122621,999,10000,4
22122622,999,10000,4
22122623,999,10000,4
22122700,999,10000,4
22122701,999,10000,4
22122702,999,10000,4
22122703,999,10000,4
22122704,999,10000,4
22122705,999,10000,4
22122706,999,10000,4
22122707,999,10000,4
22122708,999,10000,4
22122709,999,10000,4
22122710,999,10000,4
22122711,999,10000,4
22122712,500,10000,5
22122713,500,10000,5
22122714,500,10000,5
22122715,500,10000,5
22122716,500,10000,5
22122717,500,10000,5
22122718,500,10000,5
22122719,500,5499,6
22122720,500,999,7
22122721,500,999,7
22122722,500,999,7
22122723,500,999,7
22122800,500,999,7
22122801,500,999,7
22122802,500,999,7
22122803,500,749,8
22122804,500,749,8
22122805,500,749,8
22122806,500,749,8
22122807,500,500,7
22122808,500,500,7
22122809,500,500,7
22122810,500,500,7
22122811,500,500,7
22122812,500,500,7
22122813,500,500,6
22122814,500,500,6
22122815,500,500,6
22122816,500,500,6
22122817,500,500,6
22122818,500,500,6
22122819,500,500,6
22122820,500,500,5
22122821,500,500,6
22122822,500,500,6
22122823,500,500,6
22122900,500,500,6
22122901,500,500,6
22122902,500,500,6
22122903,500,500,6
22122904,500,500,6
22122905,500,500,6
22122906,500,500,6
22122907,500,500,6
22122908,500,500,6
22122909,500,500,6
22122910,500,500,6
22122911,500,500,6
22122912,500,500,5
22122913,500,500,6
22122914,500,500,6
22122915,500,500,6
22122916,500,500,6
22122917,500,500,6
22122918,500,500,8
22122919,500,500,7
22122920,500,500,7
22122921,500,500,6
22122922,500,500,6
22122923,500,500,6
22123000,500,500,6
22123001,500,500,6
22123002,500,500,6
22123003,500,500,5
22123004,500,500,5
22123005,400,500,6
22123006,400,500,6
22123007,400,500,7
22123008,400,500,7
22123009,400,500,8
22123010,400,500,8
22123011,400,500,8
22123012,400,500,8
22123013,400,500,8
22123014,400,500,9
22123015,400,500,9
22123016,400,500,9
22123017,400,500,9
22123018,400,500,7
22123019,400,500,7
22123020,400,450,6
22123021,400,400,7
22123022,400,400,7
22123023,400,400,8
22123100,400,400,8
22123101,400,400,8
22123102,400,400,8
22123103,400,400,8
22123104,400,400,8
22123105,400,400,8
22123106,400,400,8
22123107,400,400,7
22123108,400,400,8
22123109,400,400,8
22123110,400,400,8
22123111,400,400,8
22123112,400,400,8
22123113,400,400,7
22123114,400,400,7
22123115,400,400,7
22123116,400,400,7
22123117,100,400,7
22123118,100,400,7
22123119,100,400,7
22123120,100,400,7
22123121,100,400,7
22123122,100,400,7
22123123,100,400,7
23010100,100,400,7
23010101,100,400,7
23010102,100,400,7
23010103,100,400,7
23010104,100,400,7
23010105,100,400,6
23010106,100,400,6
23010107,100,400,6
23010108,100,400,5
23010109,100,400,5
23010110,100,400,5
23010111,100,400,6
23010112,100,400,6
23010113,100,400,6
23010114,100,400,6
23010115,100,400,6
23010116,100,400,6
23010117,100,400,6
23010118,100,400,6
23010119,100,400,6
23010120,100,400,6
23010121,100,250,6
23010122,100,250,6
23010123,100,250,6
23010200,100,250,6
23010201,100,250,6
23010202,100,250,6
23010203,100,250,6
23010204,100,250,6
23010205,100,250,6
23010206,100,250,6
23010207,100,250,6
23010208,100,250,6
23010209,100,400,5
23010210,100,400,5
23010211,100,400,5
23010212,100,400,5
23010213,100,400,5
23010214,100,150050,4
23010215,100,150050,4
23010216,100,150050,4
23010217,100,300000,3
23010218,100,300000,3
23010219,100,300000,3
23010220,100,300000,3
23010221,100,300000,3
23010222,100,300000,3
23010223,100,150050,2
23010300,100,150050,2
23010301,100,150050,2
23010302,100,150050,2
23010303,100,150050,2
23010304,100,150050,2
23010305,100,150050,2
23010306,100,150050,2
23010307,100,150050,2
23010308,100,150050,2
23010309,100,100,3
23010310,100,100,3
23010311,100,100,3
23010312,100,100,3
23010313,100,100,3
23010314,100,100,3
23010315,100,100,4
23010316,100,100,5
23010317,100,100,5
23010318,100,100,5
23010319,100,100,5
23010320,100,100,5
23010321,100,100,5
23010322,100,100,5
23010323,100,100,5
23010400,100,100,5
23010401,100,100,5
23010402,100,100,5
23010403,100,100,5
23010404,100,100,5
23010405,100,100,5
23010406,100,100,5
23010407,100,100,5
23010408,100,100,5
23010409,100,100,5
23010410,100,100,5
23010411,100,100,5
23010412,100,100,5
23010413,100,100,5
23010414,100,100,5
23010415,100,100,5
23010416,100,100,5
23010417,100,100,5
23010418,100,100,5
23010419,100,100,6
23010420,100,100,6
23010421,100,100,5
23010422,100,100,5
23010423,100,100,5
23010500,100,100,5
23010501,100,100,5
23010502,100,100,5
23010503,100,100,5
23010504,100,100,5
23010505,100,100,5
23010506,100,100,5
23010507,100,100,5
23010508,100,100,5
23010509,100,100,4
23010510,100,100,5
23010511,100,100,4
23010512,100,100,5
23010513,100,100,5
23010514,100,100,5
23010515,100,100,4
23010516,100,300000,3
23010517,100,300000,3
23010518,100,300000,3
23010519,100,300000,3
23010520,100,300000,3
23010521,100,300000,3
23010522,100,300000,3
23010523,100,300000,3
23010600,100,300000,3
23010601,100,300000,3
23010602,100,300000,3
23010603,100,300000,3
23010604,100,300000,3
23010605,100,300000,3
23010606,100,300000,3
23010607,100,300000,3
23010608,100,300000,3
23010609,100,300000,3
23010610,100,300000,3
23010611,100,300000,3
23010612,100,300000,3
23010613,100,300000,3
23010614,100,300000,3
23010615,100,300000,3
23010616,100,150050,4
