timestamp,min_price,median,quantity
22120411,500,694,6104
22120412,690,694,6131
22120413,393,694,6559
22120414,185,694,6687
22120415,300,694,6839
22120416,290,694,6700
22120417,389,694,6648
22120418,275,694,6672
22120419,275,694,6693
22120420,338,1806,6090
22120421,2500,2600,6374
22120422,1000,2600,6610
22120423,700,2600,7311
22120500,599,2600,7461
22120501,506,2600,7521
22120502,299,2600,7607
22120503,288,2600,8185
22120504,200,2600,8221
22120505,299,2600,8130
22120506,505,2600,8056
22120507,505,2600,8062
22120508,405,2600,8134
22120509,405,2600,8085
22120510,400,2600,8075
22120511,499,2600,8105
22120512,400,2600,8132
22120513,200,2600,8132
22120514,395,2600,8006
22120515,500,2600,7981
22120516,400,2600,8123
22120517,200,2600,8255
22120518,500,2600,7756
22120519,404,2600,7763
22120520,200,2600,7888
22120522,500,1810,7354
22120523,500,1810,6837
22120600,500,1810,7239
22120601,295,1810,7149
22120602,490,1810,7259
22120603,1000,1810,6698
22120604,1800,1810,6742
22120605,1500,1810,6788
22120606,900,1810,6843
22120607,900,1810,6875
22120608,500,1810,6945
22120609,500,1810,6945
22120610,500,1810,6945
22120611,300,1810,6996
22120612,300,1810,7018
22120613,499,1810,7013
22120614,500,1810,7006
22120615,700,1810,6966
22120616,200,1810,6911
22120617,665,1810,6908
22120618,659,1810,7599
22120619,659,1810,7536
22120620,598,1810,7601
22120621,500,1810,7560
22120622,595,665,1453
22120623,594,595,7409
22120700,594,595,7490
22120701,594,595,7065
22120702,583,595,7139
22120703,593,595,7158
22120704,500,595,7223
22120705,500,595,7242
22120706,400,595,7203
22120707,500,595,7177
22120708,400,595,7205
22120709,395,595,7260
22120710,593,595,6995
22120711,588,595,5538
22120712,500,595,5689
22120713,490,595,7220
22120714,200,595,6307
22120715,199,595,6343
22120716,465,595,5816
22120717,99,595,5865
22120718,570,595,4995
22120719,569,595,5124
22120720,570,595,5040
22120721,500,595,5213
22120722,570,595,5152
22120723,100,595,2021
22120800,399,500,4861
22120801,500,500,3941
22120802,499,500,3983
22120803,499,500,4051
22120804,499,500,4065
22120805,399,500,4056
22120806,399,500,4059
22120807,299,500,4096
22120808,389,500,4116
22120809,390,500,4172
22120810,300,500,4312
22120811,389,500,4289
22120812,390,595,2272
22120813,190,595,2330
22120814,390,595,2307
22120815,389,595,2344
22120816,300,595,2598
22120817,300,595,2415
22120818,300,390,4169
22120819,198,390,4246
22120820,300,390,3996
22120821,200,390,4114
22120822,200,389,4146
22120823,300,300,2945
22120900,300,300,4112
22120901,300,300,3893
22120902,299,300,3844
22120903,300,300,2653
22120904,379,390,780
22120905,379,390,824
22120906,350,390,941
22120907,350,390,1009
22120908,347,382,1262
22120909,240,381,1262
22120910,245,379,1314
22120911,245,570,2214
22120912,347,570,2233
22120913,300,570,2283
22120914,296,500,2371
22120915,196,500,2407
22120916,299,570,2344
22120917,299,500,2389
22120918,200,499,2582
22120919,199,500,2419
22120920,299,570,2055
22120921,125,570,1879
22120922,120,570,1976
22120923,299,570,1856
22121000,250,570,1928
22121001,594,820,69
22121002,1252,1317,91
22121003,1189,1190,187
22121004,900,1190,243
22121005,1189,1190,207
22121006,100,1190,291
22121007,98,1190,318
22121008,189,1190,306
22121009,608,1189,355
22121010,608,1189,429
22121011,607,609,634
22121012,400,608,779
22121013,345,608,889
22121014,300,608,920
22121015,200,608,981
22121016,190,607,1103
22121017,345,608,954
22121018,255,607,1067
22121019,609,1190,278
22121020,676,1190,330
22121021,375,1100,527
22121022,497,1190,348
22121023,300,776,577
22121100,5086,22007,392
22121101,2582,22006,493
22121102,2555,3500,752
22121103,2000,3500,820
22121104,1899,3500,894
22121105,1897,2582,1015
22121106,1899,2557,1023
22121107,1800,2557,1079
22121108,1700,2556,1222
22121109,1700,2557,1135
22121110,1699,2556,1306
22121111,1697,2556,1316
22121112,1697,2555,1267
22121113,1697,2000,1302
22121114,1350,2557,2148
22121115,1505,2557,2100
22121116,1000,2556,2235
22121117,1505,2555,2463
22121118,1504,2555,2449
22121119,1500,2000,2541
22121120,1000,1899,2743
22121121,1199,1899,2734
22121122,990,1899,2726
22121123,400,1899,2885
22121200,898,1899,3039
22121201,500,1697,2906
22121202,900,1697,2765
22121203,891,1597,2785
22121204,899,1597,2784
22121205,500,1505,2723
22121206,498,1505,2722
22121207,900,1505,2639
22121208,800,1505,2599
22121209,500,1505,2640
22121210,500,1505,2706
22121211,500,1505,2451
22121212,990,1697,1826
22121213,990,1700,1723
22121214,980,1700,1805
22121215,990,1899,1668
22121216,899,1700,1740
22121217,1000,3482,1403
22121218,1500,3752,1361
22121219,1500,8997,1229
22121220,1697,8997,1070
22121221,1696,8997,1240
22121222,1696,8997,1240
22121223,1696,8997,1240
22121300,890,4852,1452
22121301,994,4852,1428
22121302,990,4852,1429
22121303,900,4852,1429
22121304,1383,8997,911
22121305,1383,8997,1441
22121306,1369,8997,1486
22121307,1300,8997,1508
22121308,1212,8997,1585
22121309,1212,8997,1585
22121310,1212,8997,1585
22121311,1012,8997,1552
22121312,1012,8997,1552
22121313,1012,8997,1552
22121314,1212,8997,3150
22121315,500,8997,3255
22121316,1250,8997,4186
22121317,1250,8997,4196
22121318,1250,8997,4144
22121319,1297,8997,4038
22121320,1295,8997,3451
22121321,1294,8997,3408
22121322,1294,8997,3667
22121323,1100,8997,3784
22121400,1293,8997,3769
22121401,1291,8997,3912
22121402,1189,8997,3920
22121403,1288,8997,3929
22121404,1288,8997,4025
22121405,1288,8997,3557
22121406,1286,8997,3383
22121407,1286,8997,3438
22121408,1222,8997,3427
22121409,1221,8997,3256
22121410,1086,8997,3150
22121411,1086,8997,3168
22121412,986,8997,3209
22121413,1086,8997,3147
22121414,1083,8997,3569
22121415,1083,8997,3407
22121416,1028,8997,3401
22121417,1000,8997,3423
22121418,1000,8997,3451
22121419,1000,1000,3299
22121420,1000,1000,3059
22121421,1000,1083,2555
22121422,1000,1000,2670
22121423,900,1000,2729
22121500,900,1000,2765
22121501,499,1000,2811
22121502,899,1000,2332
22121503,900,1000,2289
22121504,899,1000,2559
22121505,898,1000,2503
22121506,750,1000,2935
22121507,899,1000,2779
22121508,899,1000,2763
22121509,899,1000,2719
22121510,899,1000,2727
22121511,800,1000,2681
22121512,500,1000,2751
22121513,900,1000,2607
22121514,900,1000,2392
22121515,1000,1000,2299
22121516,999,1000,2364
22121517,999,1000,2266
22121518,975,1000,2285
22121519,500,1000,2156
22121520,500,1000,2215
22121521,999,1000,2019
22121522,1000,1000,1351
22121523,980,1000,1283
22121600,500,1000,1230
22121601,800,1000,1173
22121602,800,1000,1241
22121603,800,1000,1261
22121604,800,1000,1300
22121605,800,1000,1266
22121606,800,1000,1270
22121607,799,1000,1473
22121608,799,1000,1448
22121609,799,1000,1448
22121610,799,1000,1448
22121611,799,1000,1507
22121612,799,1000,1455
22121613,599,1000,1465
22121614,500,1000,1406
22121615,799,1000,1312
22121616,800,1000,1351
22121617,800,1000,1238
22121618,798,1000,1250
22121619,1000,1000,1205
22121620,3389,3399,120
22121621,8016,9016,13
22121622,5067,9817,296
22121623,4750,9817,344
