timestamp,min_price,median,quantity
22120411,7,11,112514
22120412,7,9,109700
22120413,7,9,109965
22120414,7,9,113227
22120415,7,8,107706
22120416,7,8,107811
22120417,6,8,115408
22120418,2,11,131948
22120419,2,9,133326
22120420,2,8,122239
22120421,2,8,124315
22120422,7,8,119821
22120423,7,8,118802
22120500,7,8,120752
22120501,7,8,121673
22120502,7,8,119486
22120503,7,8,131071
22120504,7,8,130897
22120505,7,8,120980
22120506,7,8,120004
22120507,7,8,120118
22120508,7,8,119248
22120509,7,8,116315
22120510,6,8,116739
22120511,6,8,125315
22120512,1,8,124920
22120513,6,8,124971
22120514,6,8,125121
22120515,5,8,123255
22120516,5,8,123047
22120517,5,8,124325
22120518,6,8,127191
22120519,5,8,138477
22120520,5,8,139071
22120522,7,8,133033
22120523,6,8,133653
22120600,6,8,134595
22120601,5,8,134749
22120602,6,8,134739
22120603,6,8,134866
22120604,6,8,134885
22120605,6,8,134097
22120606,6,8,134862
22120607,6,8,132862
22120608,4,8,132235
22120609,4,8,132235
22120610,4,8,132235
22120611,8,12,77004
22120612,7,12,77250
22120613,7,2575,127510
22120614,7,2575,222277
22120615,7,2575,218320
22120616,7,2575,218445
22120617,8,2575,213852
22120618,8,2575,214956
22120619,7,2575,219044
22120620,7,2575,219895
22120621,7,2575,220180
22120622,8,2575,225206
22120623,8,2575,228757
22120700,8,2575,236499
22120701,7,2575,243430
22120702,7,2575,244714
22120703,7,2575,243854
22120704,7,2575,244103
22120705,7,2575,243956
22120706,7,2575,244539
22120707,7,2575,241724
22120708,5,2575,241809
22120709,3,2575,242717
22120710,3,2575,240377
22120711,3,2575,234664
22120712,6,2575,234365
22120713,6,2575,240545
22120714,6,2575,244569
22120715,6,2575,245001
22120716,4,2575,246554
22120717,5,2575,246282
22120718,5,2575,227649
22120719,5,2575,222694
22120720,5,2575,222952
22120721,5,2575,221235
22120722,6,2575,220049
22120723,5,2575,229574
22120800,5,2575,229270
22120801,4,2575,229314
22120802,4,2575,229441
22120803,2,2575,230097
22120804,4,2575,229384
